id,title,lat,lon,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,year_created,cluster,is_free,is_desert
185419,Alte Dorfstr. 135,53.581721,9.408625,Stade,,21684,,3,3,50.0,Fast (50-99 kW),,2021,0,False,False
185418,Bendixenstraße,54.355977,10.113111,Kiel,,24106,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185417,Bulderner Str. 15,51.854837,7.476789,Senden,,48308,,2,2,22.0,Medium (22-49 kW),,2021,2,False,False
185416,Dorfstraße 72,54.352236,9.0749,Sankt Annen,,25776,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185415,Ernst-Thälmann-Straße 8,53.459677,13.583082,Woldegk,,17348,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185414,Söhren 47,54.339407,10.210255,Schönkirchen,,24232,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185413,Franckestraße 2,54.33671,10.130927,Kiel,,24105,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185412,Feldstraße 23,54.333478,10.138621,Kiel,,24105,,2,2,50.0,Fast (50-99 kW),,2021,0,False,False
185411,Friedrich-Karl-Str. 96,53.076574,8.844484,Bremen,,28205,,3,3,22.0,Medium (22-49 kW),,2021,4,False,False
185410,Am Schiffbeker Berg 6a,53.542346,10.092252,Hamburg,,22111,,3,3,50.0,Fast (50-99 kW),,2021,0,False,False
185409,Fischländer Weg 35,54.329176,12.372286,Ostseebad Wustrow,,18347,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185408,Büsumer Str. 150,54.327839,9.619281,Rendsburg,,24768,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185407,Schlossgarten 7,54.326443,10.142416,Kiel,,24103,,4,4,22.0,Medium (22-49 kW),,2021,0,False,False
185405,Friedrich-Ebert-Platz,49.408614,8.698401,Heidelberg,,69117,,4,4,22.0,Medium (22-49 kW),,2021,5,False,False
185404,Kirchplatz 5,48.22641,11.67469,Ismaning,,85737,,2,2,22.0,Medium (22-49 kW),,2021,1,False,False
185403,Platz vor dem Neuen Tor ,52.528677,13.378846,Berlin,,10117,,2,2,22.0,Medium (22-49 kW),,2021,3,False,False
185402,Scharnhorststraße 6,51.481455,7.223855,Bochum,,44787,,6,6,11.0,Slow (<22 kW),,2021,2,False,False
185401,Auguste-Viktoria-Str.,54.3177,10.134068,Kiel,,24103,,5,5,22.0,Medium (22-49 kW),,2021,0,False,False
185400,Hofholzallee 220,54.317026,10.066623,Kiel,,24109,,2,2,22.0,Medium (22-49 kW),,2021,0,False,False
185399,Marktstraße 2,48.575377,7.813511,Kehl,,77694,,2,2,75.0,Fast (50-99 kW),,2021,5,False,False
185398,Uttrichshausen West BAB7 ,50.41985,9.735454,Kalbach,,36148,,4,4,50.0,Fast (50-99 kW),,2021,5,False,False
185397,Hermann-Graf-Straße 16,49.557,8.073,Eisenberg (Pfalz),,67304,,2,2,50.0,Fast (50-99 kW),,2021,5,False,False
